StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q65,QID1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q30,Q29,Q28,C1,C3,C4,C14,C16,C25,C26,C28,A5,A8,A17,A19,A31,A32,B10,B11,B21,B22,B34,B35,Q161,Q162,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q170,Q171,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q180,Q67,Q68,Q69,Q70,Q71,Q63,Q64,Q54,Q65,Q64,Q63,Q62,Q80,Q83,Q82,Q81,Q66,Q68,Q78,Q71,Q77,Q74,Q69,Q70,Q67
2021-11-08 07:31:06,2021-11-08 07:37:31,IP Address,174.20.177.242,100,385,True,2021-11-08 07:37:32,R_1FmFg9Iug1lxqqK,,,,,44.9398956298828125,-93.25479888916015625,anonymous,EN,Accept,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Agree,Often (Once a week),Very often (A few times a week),Often (Once a week),Often (Once a week),Very often (A few times a week),Often (Once a week),Often (Once a week),Often (Once a week),Very often (A few times a week),Very often (A few times a week),Often (Once a week),Very often (A few times a week),Very often (A few times a week),Sometimes (A few times a month),Very often (A few times a week),Sometimes (A few times a month),Often (Once a week),Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,Not in the past year,Not in the past year,Not in the past year,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Full-time,Information Technology,"More than 500 but less than 5,000 employees",Remote work with the option to work on-site,Insider Risk Engineering Director,Middle management,50-59,Bachelor degree,Male
2021-11-08 07:40:34,2021-11-08 07:51:38,IP Address,107.115.17.26,100,664,True,2021-11-08 07:51:39,R_0VxpJ5fnK2utty9,,,,,42.356201171875,-71.06310272216796875,anonymous,EN,Accept,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Sometimes (A few times a month),Sometimes (A few times a month),Often (Once a week),Sometimes (A few times a month),Often (Once a week),Rarely (Once a month or less),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Often (Once a week),Sometimes (A few times a month),Sometimes (A few times a month),Often (Once a week),Sometimes (A few times a month),Very often (A few times a week),Rarely (Once a month or less),Often (Once a week),Somewhat Agree,Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",Not in the past year,"THREE or MORE times in the past year, but not more than 15 times",Not in the past year,Not in the past year,NEVER in my life,Not in the past year,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Full-time,Information Technology,"More than 50,000 employees",Remote work with the option to work on-site,"Director Enterprise Architecture ",Middle management,50-59,Graduate degree,Male
2021-11-08 07:44:22,2021-11-08 07:52:05,IP Address,73.65.91.209,100,463,True,2021-11-08 07:52:05,R_Ze0RgvNsbNoaJRn,,,,,44.9947967529296875,-93.25479888916015625,anonymous,EN,Accept,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Almost never (A few times a year or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Almost never (A few times a year or less),Rarely (Once a month or less),Sometimes (A few times a month),Rarely (Once a month or less),Rarely (Once a month or less),Almost never (A few times a year or less),Sometimes (A few times a month),,,,,,,,,,,,,,,,,,,,,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",Not in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,Not in the past year,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Full-time,Education & Training,More than 10 but less than 500 employees,Remote work with the option to work on-site,Psychometrician,Non-managerial,30-39,Graduate degree,Female
2021-11-08 07:46:27,2021-11-08 07:53:40,IP Address,99.149.124.246,100,433,True,2021-11-08 07:53:40,R_2fDo9pie3GJuWkn,,,,,35.717803955078125,-78.84279632568359375,anonymous,EN,Accept,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Sometimes (A few times a month),Sometimes (A few times a month),Rarely (Once a month or less),Sometimes (A few times a month),Sometimes (A few times a month),Rarely (Once a month or less),Almost never (A few times a year or less),Rarely (Once a month or less),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Often (Once a week),Sometimes (A few times a month),Rarely (Once a month or less),Often (Once a week),Often (Once a week),Very often (A few times a week),Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,Not in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",ONCE or TWICE in the past year,Disagree,Disagree,Disagree,Disagree,Full-time,"Science, Technology, Engineering & Mathematics","More than 500 but less than 5,000 employees",Remote work only,Director of Program Management,Middle management,50-59,Bachelor degree,Male
2021-11-08 08:14:06,2021-11-08 08:24:00,IP Address,67.4.212.59,100,594,True,2021-11-08 08:24:01,R_2qvXrssPhgoBIY0,,,,,44.9763946533203125,-93.2239990234375,anonymous,EN,Accept,Neither Agree nor Disagree,Disagree,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Sometimes (A few times a month),Very often (A few times a week),Sometimes (A few times a month),Sometimes (A few times a month),Often (Once a week),Often (Once a week),Often (Once a week),Sometimes (A few times a month),Often (Once a week),Often (Once a week),Often (Once a week),Rarely (Once a month or less),Very often (A few times a week),Often (Once a week),Very often (A few times a week),Almost never (A few times a year or less),Very often (A few times a week),Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",NEVER in my life,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,Not in the past year,NEVER in my life,NEVER in my life,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Full-time,Education & Training,More than 10 but less than 500 employees,Remote work only,"Data Analyst ",Non-managerial,21-29,Graduate degree,Female
2021-11-08 08:14:38,2021-11-08 08:30:50,IP Address,69.9.215.183,100,972,True,2021-11-08 08:30:50,R_2xDdN9rZTexdbGa,,,,,45.564605712890625,-94.3365020751953125,anonymous,EN,Accept,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Often (Once a week),Often (Once a week),Rarely (Once a month or less),Rarely (Once a month or less),Often (Once a week),Often (Once a week),Often (Once a week),Sometimes (A few times a month),Often (Once a week),Often (Once a week),Often (Once a week),Often (Once a week),Often (Once a week),Often (Once a week),Always (Every day),Very often (A few times a week),Very often (A few times a week),,,,,,,,,,,,,,,,,,,,,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",MORE THAN 15 TIMES in the past year,Not in the past year,NEVER in my life,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,ONCE or TWICE in the past year,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Full-time,Finance,More than 10 but less than 500 employees,Remote work with the option to work on-site,Sr. Analyst,Non-managerial,21-29,Graduate degree,Male
2021-11-08 08:27:29,2021-11-08 08:36:00,IP Address,198.144.7.82,100,511,True,2021-11-08 08:36:01,R_2BmHO6JAbV16TkZ,,,,,44.9174041748046875,-92.9477996826171875,anonymous,EN,Accept,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Sometimes (A few times a month),Often (Once a week),Often (Once a week),Sometimes (A few times a month),Sometimes (A few times a month),Rarely (Once a month or less),Often (Once a week),Often (Once a week),Often (Once a week),Very often (A few times a week),Often (Once a week),Very often (A few times a week),Often (Once a week),Often (Once a week),Very often (A few times a week),Sometimes (A few times a month),Always (Every day),,,,,,,,,,,,,,,,,,,,,Somewhat Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",Not in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,Not in the past year,Agree,Agree,Agree,Agree,Full-time,Information Technology,More than 10 but less than 500 employees,On-site work only,IT Manager,Middle management,40-49,Bachelor degree,Male
2021-11-08 08:17:01,2021-11-08 08:37:34,IP Address,130.68.183.228,100,1233,True,2021-11-08 08:37:34,R_2rGUHNUPjqXgAFC,,,,,40.8459014892578125,-74.200897216796875,anonymous,EN,Accept,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very often (A few times a week),Always (Every day),Always (Every day),Always (Every day),Always (Every day),Often (Once a week),Very often (A few times a week),Often (Once a week),Always (Every day),Always (Every day),Very often (A few times a week),Always (Every day),Rarely (Once a month or less),Often (Once a week),Always (Every day),Rarely (Once a month or less),Always (Every day),,,,,,,,,,,,,,,,,,,,,Somewhat Agree,Strongly Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,"THREE or MORE times in the past year, but not more than 15 times",NEVER in my life,"THREE or MORE times in the past year, but not more than 15 times",Not in the past year,Not in the past year,"THREE or MORE times in the past year, but not more than 15 times",ONCE or TWICE in the past year,"THREE or MORE times in the past year, but not more than 15 times",Not in the past year,Not in the past year,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Part-time,"Transportation, Distribution & Logistics",More than 10 but less than 500 employees,On-site work only,Driver,Non-managerial,21-29,Bachelor degree,Male
2021-11-08 08:52:16,2021-11-08 08:59:08,IP Address,65.128.138.128,100,411,True,2021-11-08 08:59:08,R_3qsu3mzLr5zUy5m,,,,,44.9402008056640625,-93.21880340576171875,anonymous,EN,Accept,Agree,Strongly Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Very often (A few times a week),Always (Every day),Always (Every day),Very often (A few times a week),Very often (A few times a week),Very often (A few times a week),Always (Every day),Very often (A few times a week),Always (Every day),Always (Every day),Always (Every day),Very often (A few times a week),Always (Every day),Very often (A few times a week),Very often (A few times a week),Very often (A few times a week),Often (Once a week),Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Disagree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,ONCE or TWICE in the past year,Not in the past year,Not in the past year,ONCE or TWICE in the past year,Not in the past year,Not in the past year,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Self-employed,"Arts, Audio/Video Technology & Communications",Less than 10 employees,Remote work with the option to work on-site,Self Employed Owner of a Graphic Design Firm,Executive,40-49,Bachelor degree,Male
2021-11-08 09:20:57,2021-11-08 09:31:19,IP Address,66.188.240.163,100,621,True,2021-11-08 09:31:19,R_2rrpUO2cfLbUCXh,,,,,44.8329925537109375,-91.5124969482421875,anonymous,EN,Accept,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Never,Rarely (Once a month or less),Rarely (Once a month or less),Almost never (A few times a year or less),Sometimes (A few times a month),Never,Sometimes (A few times a month),Sometimes (A few times a month),Rarely (Once a month or less),Sometimes (A few times a month),Very often (A few times a week),Very often (A few times a week),Very often (A few times a week),Rarely (Once a month or less),Often (Once a week),Often (Once a week),Very often (A few times a week),,,,,,,,,,,,,,,,,,,,,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Full-time,Education & Training,More than 10 but less than 500 employees,On-site with the option to work remotely when needed,Professor,Non-managerial,30-39,Graduate degree,Female
2021-11-08 09:25:56,2021-11-08 09:33:54,IP Address,174.82.189.232,100,477,True,2021-11-08 09:33:54,R_3fP5rFfjGPyGu2t,,,,,45.6360015869140625,-94.21700286865234375,anonymous,EN,Accept,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Sometimes (A few times a month),Often (Once a week),Sometimes (A few times a month),Sometimes (A few times a month),Very often (A few times a week),Sometimes (A few times a month),Very often (A few times a week),Sometimes (A few times a month),Sometimes (A few times a month),Very often (A few times a week),Very often (A few times a week),Rarely (Once a month or less),Rarely (Once a month or less),Sometimes (A few times a month),Often (Once a week),Always (Every day),Sometimes (A few times a month),Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,NEVER in my life,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Full-time,Education & Training,"More than 500 but less than 5,000 employees",On-site with the option to work remotely when desired,Associate Professor,Non-managerial,40-49,Graduate degree,Male
2021-11-08 09:24:14,2021-11-08 09:34:25,IP Address,68.187.104.122,100,611,True,2021-11-08 09:34:26,R_21AFHMCNv1VC2iO,,,,,44.4506988525390625,-89.5428009033203125,anonymous,EN,Accept,Neither Agree nor Disagree,Agree,Disagree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Disagree,Sometimes (A few times a month),Very often (A few times a week),Often (Once a week),Sometimes (A few times a month),Rarely (Once a month or less),Often (Once a week),Rarely (Once a month or less),Sometimes (A few times a month),Very often (A few times a week),Often (Once a week),Often (Once a week),Often (Once a week),Very often (A few times a week),Sometimes (A few times a month),Always (Every day),Rarely (Once a month or less),Often (Once a week),Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,"THREE or MORE times in the past year, but not more than 15 times",ONCE or TWICE in the past year,NEVER in my life,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",Not in the past year,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Full-time,Business Management & Administration,"More than 5,000 but less than 10,000 employees",Remote work only,Senior claims representative,Non-managerial,21-29,Bachelor degree,Female
2021-11-08 09:32:40,2021-11-08 09:42:06,IP Address,174.199.87.10,100,565,True,2021-11-08 09:42:06,R_1ly3bM3SDo0W99T,,,,,44.9833984375,-93.26219940185546875,anonymous,EN,Accept,Neither Agree nor Disagree,Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Often (Once a week),Always (Every day),Always (Every day),Very often (A few times a week),Very often (A few times a week),Often (Once a week),Very often (A few times a week),Very often (A few times a week),Very often (A few times a week),Always (Every day),Very often (A few times a week),Often (Once a week),Often (Once a week),Rarely (Once a month or less),Very often (A few times a week),Very often (A few times a week),Always (Every day),,,,,,,,,,,,,,,,,,,,,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Disagree,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",NEVER in my life,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,NEVER in my life,Agree,Agree,Agree,Agree,Part-time,Health Science,More than 10 but less than 500 employees,On-site work only,CNA,Non-managerial,18-20,Some college but no degree,Female
2021-11-08 09:41:15,2021-11-08 09:47:23,IP Address,73.94.67.49,100,367,True,2021-11-08 09:47:23,R_9ZDLeL1szHW1hdf,,,,,45.0702056884765625,-93.455596923828125,anonymous,EN,Accept,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Sometimes (A few times a month),Sometimes (A few times a month),Often (Once a week),Sometimes (A few times a month),Sometimes (A few times a month),Sometimes (A few times a month),Almost never (A few times a year or less),Rarely (Once a month or less),Often (Once a week),Rarely (Once a month or less),Sometimes (A few times a month),Often (Once a week),Often (Once a week),Sometimes (A few times a month),Rarely (Once a month or less),Often (Once a week),Very often (A few times a week),,,,,,,,,,,,,,,,,,,,,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,"THREE or MORE times in the past year, but not more than 15 times",Not in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,Not in the past year,ONCE or TWICE in the past year,Not in the past year,Not in the past year,Not in the past year,Not in the past year,Agree,Agree,Agree,Agree,Part-time,Finance,"More than 10,000 but less than 50,000 employees",On-site with the option to work remotely when needed,Director,Middle management,40-49,Graduate degree,Female
2021-11-08 09:59:14,2021-11-08 10:04:57,IP Address,24.118.201.153,100,342,True,2021-11-08 10:04:57,R_12gMNUgKjnyRIjO,,,,,44.935394287109375,-93.169403076171875,anonymous,EN,Accept,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Very often (A few times a week),Always (Every day),Very often (A few times a week),Always (Every day),Always (Every day),Often (Once a week),Always (Every day),Very often (A few times a week),Very often (A few times a week),Always (Every day),Very often (A few times a week),Very often (A few times a week),Sometimes (A few times a month),Sometimes (A few times a month),Often (Once a week),Rarely (Once a month or less),Very often (A few times a week),Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,ONCE or TWICE in the past year,MORE THAN 15 TIMES in the past year,"THREE or MORE times in the past year, but not more than 15 times",NEVER in my life,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,MORE THAN 15 TIMES in the past year,Not in the past year,NEVER in my life,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Part-time,Health Science,"More than 10,000 but less than 50,000 employees",Remote work with the option to work on-site,Environmental Sustainability Intern,Non-managerial,21-29,Bachelor degree,Female
2021-11-08 10:30:20,2021-11-08 10:34:47,Survey Preview,,100,266,True,2021-11-08 10:34:48,R_2aDecnqprusoMyu,,,,,40.882293701171875,-74.21520233154296875,preview,EN,Accept,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),Rarely (Once a month or less),,,,,,,,,,,,,,,,,,,,,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,"THREE or MORE times in the past year, but not more than 15 times",ONCE or TWICE in the past year,Not in the past year,"THREE or MORE times in the past year, but not more than 15 times",ONCE or TWICE in the past year,ONCE or TWICE in the past year,ONCE or TWICE in the past year,"THREE or MORE times in the past year, but not more than 15 times",ONCE or TWICE in the past year,ONCE or TWICE in the past year,"THREE or MORE times in the past year, but not more than 15 times",ONCE or TWICE in the past year,Disagree,Disagree,Disagree,Disagree,Full-time,Education & Training,"More than 500 but less than 5,000 employees",On-site work only,THIS IS A PILOT RUN-THROUGH,Middle management,40-49,Graduate degree,Male
